Title: Temperature and Distance Dependence of Tidal Circularization in Close 
       Binaries: A Catalog of Eclipsing Binaries in the Southern Hemisphere 
       Observed by the TESS Satellite.  
Authors: Justesen A.B., Albrecht S. 
Table: Orbital Parameters of TESS Eclipsing Binaries
================================================================================
Byte-by-byte Description of file: apjabefcdt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  9 I9     ---   TIC    TESS Input Catalog ID
  11- 25 E15.9  d     P      Orbital period
  27- 41 E15.9  ---   t1     Time of primary eclipse (1)
  43- 57 E15.9  ---   t2     Time of secondary eclipse (1)
  59- 73 E15.9  ---   ecosw  Eccentricity times cos(longitude of periastron) 
  75- 89 E15.9  ---   d1     Depth of primary eclipse
  91-105 E15.9  ---   d2     Depth of secondary eclipse
 107-121 E15.9  mag   Tmag   TESS apparent magnitude
--------------------------------------------------------------------------------
Note (1): TESS Barycentric Julian Date (BJD - 2457000).
--------------------------------------------------------------------------------
390554357 3.647453009e+00 1.573365589e+03 1.571719075e+03 7.639212262e-02 1.994313838e-01 1.234741369e-01 8.178600000e+00 
292013448 4.327778387e+00 1.658336155e+03 1.660500041e+03 1.077989751e-06 4.278961080e-01 3.377809999e-01 7.714300000e+00 
260659986 7.140203061e+00 1.628502493e+03 1.632067569e+03 1.105219729e-03 1.665733821e-01 1.650336178e-01 1.064590000e+01 
460820330 5.073815738e+00 1.599996271e+03 1.597459871e+03 1.573212983e-04 3.926490196e-01 2.680893546e-01 1.428910000e+01 
 27654882 2.231320721e+00 1.493387402e+03 1.494503025e+03 2.593399796e-05 3.526282559e-02 3.391391900e-02 9.852160000e+00 
 38586438 1.111284791e+00 1.492029415e+03 1.492584944e+03 1.601917225e-04 1.578194860e-01 1.300357599e-01 1.167040000e+01 
119461266 2.946210878e+00 1.469949275e+03 1.468476307e+03 7.358684792e-05 4.837377400e-01 4.425613055e-01 7.953270000e+00 
230954651 1.678715544e+00 1.655207449e+03 1.656039504e+03 6.833154108e-03 4.190571292e-02 3.513181052e-02 1.542340000e+01 
180724703 1.122603305e+00 1.386479492e+03 1.385918353e+03 2.268875440e-04 4.732689214e-01 9.647806677e-02 1.040840000e+01 
394585218 3.964240972e+00 1.327139430e+03 1.325157887e+03 2.283661044e-04 8.346184786e-02 1.075392813e-02 1.029650000e+01 
170637811 3.064004215e+00 1.412884411e+03 1.411359905e+03 3.837680398e-03 1.553606409e-01 1.048285304e-01 1.147700000e+01 
410245402 3.000564097e+00 1.517796537e+03 1.516296394e+03 7.248093359e-05 1.735965860e-01 2.641251413e-02 1.032770000e+01 
